file,class,totalMetods,loc,varaiblesQty
D:\Academic\IT mora\Course Modules\4th Year\Research Project\Dependency Extractor\Theekshana\code_city-master\code_city\src\com\github\mauricioaniche\ck\metric\WMC.java,com.github.mauricioaniche.ck.metric.WMC,14,60,4
D:\Academic\IT mora\Course Modules\4th Year\Research Project\Dependency Extractor\Theekshana\code_city-master\code_city\src\dependency\ast\DCLDeepDependencyVisitor.java,dependency.ast.DCLDeepDependencyVisitor,22,321,30
D:\Academic\IT mora\Course Modules\4th Year\Research Project\Dependency Extractor\Theekshana\code_city-master\code_city\src\dependency\core\Architecture.java,dependency.core.Architecture,9,88,15
D:\Academic\IT mora\Course Modules\4th Year\Research Project\Dependency Extractor\Theekshana\code_city-master\code_city\src\dependency\dependencies\AccessDependency.java,dependency.dependencies.AccessDependency,3,12,0
D:\Academic\IT mora\Course Modules\4th Year\Research Project\Dependency Extractor\Theekshana\code_city-master\code_city\src\dependency\dependencies\AnnotateDependency.java,dependency.dependencies.AnnotateDependency,3,12,0
D:\Academic\IT mora\Course Modules\4th Year\Research Project\Dependency Extractor\Theekshana\code_city-master\code_city\src\dependency\dependencies\CreateDependency.java,dependency.dependencies.CreateDependency,3,12,0
D:\Academic\IT mora\Course Modules\4th Year\Research Project\Dependency Extractor\Theekshana\code_city-master\code_city\src\dependency\dependencies\DeclareDependency.java,dependency.dependencies.DeclareDependency,3,12,0
D:\Academic\IT mora\Course Modules\4th Year\Research Project\Dependency Extractor\Theekshana\code_city-master\code_city\src\dependency\dependencies\Dependency.java,dependency.dependencies.Dependency,9,36,5
D:\Academic\IT mora\Course Modules\4th Year\Research Project\Dependency Extractor\Theekshana\code_city-master\code_city\src\dependency\dependencies\DeriveDependency.java,dependency.dependencies.DeriveDependency,2,9,0
D:\Academic\IT mora\Course Modules\4th Year\Research Project\Dependency Extractor\Theekshana\code_city-master\code_city\src\dependency\dependencies\ExtendDependency.java,dependency.dependencies.ExtendDependency,2,9,0
D:\Academic\IT mora\Course Modules\4th Year\Research Project\Dependency Extractor\Theekshana\code_city-master\code_city\src\dependency\dependencies\HandleDependency.java,dependency.dependencies.HandleDependency,1,6,0
D:\Academic\IT mora\Course Modules\4th Year\Research Project\Dependency Extractor\Theekshana\code_city-master\code_city\src\dependency\dependencies\ImplementDependency.java,dependency.dependencies.ImplementDependency,2,9,0
D:\Academic\IT mora\Course Modules\4th Year\Research Project\Dependency Extractor\Theekshana\code_city-master\code_city\src\dependency\dependencies\ThrowDependency.java,dependency.dependencies.ThrowDependency,5,20,1
D:\Academic\IT mora\Course Modules\4th Year\Research Project\Dependency Extractor\Theekshana\code_city-master\code_city\src\dependency\enums\DependencyType.java,dependency.enums.DependencyType,4,38,2
D:\Academic\IT mora\Course Modules\4th Year\Research Project\Dependency Extractor\Theekshana\code_city-master\code_city\src\dependency\exception\DCLException.java,dependency.exception.DCLException,4,19,3
D:\Academic\IT mora\Course Modules\4th Year\Research Project\Dependency Extractor\Theekshana\code_city-master\code_city\src\dependency\main\Main.java,dependency.main.Main,3,64,18
D:\Academic\IT mora\Course Modules\4th Year\Research Project\Dependency Extractor\Theekshana\code_city-master\code_city\src\dependency\util\DCLUtil.java,dependency.util.DCLUtil,16,197,40
D:\Academic\IT mora\Course Modules\4th Year\Research Project\Dependency Extractor\Theekshana\code_city-master\code_city\src\dependency\util\TxtFileWriter.java,dependency.util.TxtFileWriter,1,29,2
D:\Academic\IT mora\Course Modules\4th Year\Research Project\Dependency Extractor\Theekshana\code_city-master\code_city\src\jcity\CK.java,jcity.CK,4,55,14
D:\Academic\IT mora\Course Modules\4th Year\Research Project\Dependency Extractor\Theekshana\code_city-master\code_city\src\jcity\CKNotifier.java,jcity.CKNotifier,1,4,0
D:\Academic\IT mora\Course Modules\4th Year\Research Project\Dependency Extractor\Theekshana\code_city-master\code_city\src\jcity\CKVisitor.java,jcity.CKVisitor$MethodInTheStack,0,5,2
D:\Academic\IT mora\Course Modules\4th Year\Research Project\Dependency Extractor\Theekshana\code_city-master\code_city\src\jcity\CKVisitor.java,jcity.CKVisitor,103,777,439
D:\Academic\IT mora\Course Modules\4th Year\Research Project\Dependency Extractor\Theekshana\code_city-master\code_city\src\jcity\CKVisitor.java,jcity.CKVisitor$ClassInTheStack,1,9,3
D:\Academic\IT mora\Course Modules\4th Year\Research Project\Dependency Extractor\Theekshana\code_city-master\code_city\src\jcity\JCity.java,jcity.JCity,20,79,9
D:\Academic\IT mora\Course Modules\4th Year\Research Project\Dependency Extractor\Theekshana\code_city-master\code_city\src\jcity\JClassResult.java,jcity.JClassResult,89,327,46
D:\Academic\IT mora\Course Modules\4th Year\Research Project\Dependency Extractor\Theekshana\code_city-master\code_city\src\jcity\JMethodResult.java,jcity.JMethodResult,53,198,27
D:\Academic\IT mora\Course Modules\4th Year\Research Project\Dependency Extractor\Theekshana\code_city-master\code_city\src\jcity\MetricsExecutor.java,jcity.MetricsExecutor,2,26,6
D:\Academic\IT mora\Course Modules\4th Year\Research Project\Dependency Extractor\Theekshana\code_city-master\code_city\src\jcity\Runner.java,jcity.Runner,1,84,23
D:\Academic\IT mora\Course Modules\4th Year\Research Project\Dependency Extractor\Theekshana\code_city-master\code_city\src\jcity\util\FileUtils.java,jcity.util.FileUtils,3,27,8
D:\Academic\IT mora\Course Modules\4th Year\Research Project\Dependency Extractor\Theekshana\code_city-master\code_city\src\jcity\util\JDTUtils.java,jcity.util.JDTUtils,5,44,11
D:\Academic\IT mora\Course Modules\4th Year\Research Project\Dependency Extractor\Theekshana\code_city-master\code_city\src\jcity\util\LOCCalculator.java,jcity.util.LOCCalculator,1,14,2
D:\Academic\IT mora\Course Modules\4th Year\Research Project\Dependency Extractor\Theekshana\code_city-master\code_city\src\jcity\util\MetricsFinder.java,jcity.util.MetricsFinder,4,49,6
D:\Academic\IT mora\Course Modules\4th Year\Research Project\Dependency Extractor\Theekshana\code_city-master\code_city\src\jcity\util\ResultWriter.java,jcity.util.ResultWriter,3,16,3
D:\Academic\IT mora\Course Modules\4th Year\Research Project\Dependency Extractor\Theekshana\code_city-master\code_city\src\jcity\util\SourceCodeLineCounter.java,jcity.util.SourceCodeLineCounter,4,121,12
